,active_ingredients,inactive_ingredients,product,price,active_smiles,inactive_smiles,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,RingCount,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_COO,fr_Ar_N,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_aldehyde,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_azo,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_halogen,fr_hdrzone,fr_phos_acid,fr_pyridine,fr_sulfonamd,fr_unbrch_alkane,fr_NH1,fr_Ndealkylation1,fr_quatN,fr_alkyl_halide,NumAliphaticCarbocycles,fr_Ar_NH,fr_Nhpyrrole,fr_epoxide,NumSaturatedCarbocycles,fr_Ar_OH,fr_ketone,fr_ketone_Topliss,fr_nitrile,fr_phenol,fr_phenol_noOrthoHbond,fr_urea,fr_Ndealkylation2,fr_methoxy,fr_lactone,fr_sulfide,fr_NH2,fr_para_hydroxylation,fr_Imine,fr_guanido,fr_phos_ester,fr_ArN,fr_furan,fr_hdrzine,fr_nitro,fr_priamide,fr_imidazole,fr_N_O,fr_imide,fr_sulfone,fr_SH,fr_thiocyan,fr_nitroso,product_id,pack
222,['sodium fluoride 243'],[],"ARM & HAMMER Rejuvenating Truly Radiant Toothpaste, 4.3 oz.",15.7,['sodium fluoride 243'],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43888290,4
275,['stannous fluoride'],[],"Colgate Gel-Kam Fluoride Preventative Fruit & Berry Flavor Treatment Gel, 4.3 Oz.",14.99,['F[Sn]F'],[],3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46120290,1
291,['stannous fluoride'],[],Crest Gum Detoxify Deep Clean Fluoride Toothpaste 4-4.1 oz. Boxes,16.42,['F[Sn]F'],[],3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895188014,4
303,"['purified water','bentonite clay','sea salt','spearmint essential oil','menthol','tea tree oil']",[],"Redmond Earth Paste Natural Toothpaste, Unsweetend Spearmint, 4 Oz",9.85,"['O','bentonite clay','[Na+].[Cl-]','spearmint essential oil','CC1CCC(C(C1)O)C(C)C','CCCCCCCOP(=S)(OCCCCCCC)[S-].CCCCCCCOP(=S)(OCCCCCCC)[S-].[Zn+2]']",[],53,3,6,0,1,0,0,0,9,1,15,0,29,0,1,314,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37684787,1
304,['sodium fluoride'],"['glycerin','hydrated silica','sodium hexametaphosphate','water','peg-6','flavor','trisodium phosphate','sodium lauryl sulfate','carrageenan','cocamidopropyl betaine','sodium saccharin','peg-20m or peg-23m','gum xanthan','sucralose','mica','titanium dioxide']","Crest 3D White Brilliance Advanced Whitening Technology Plus Advanced Stain Protection Toothpaste, Vibrant Peppermint, 0.85 oz",4.89,['[F-].[Na+]'],"['C(C(CO)O)O','O.[O-2].[O-2].[Si+4]','sodium hexametaphosphate','O','C(COCCOCCOCCOCCOCCO)O','flavor','[O-]P(=O)([O-])[O-].[Na+].[Na+].[Na+]','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','CCC(=O)C1=C(C(=C(C=C1)F)C2CC2NC(=O)NC3=NC=C(C=C3)C#N)O.CC(=O)[O-].CC(=O)[O-].[Zn+2]','CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','peg-20m or peg-23m','CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O','C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O','[O-2].O=[Al]O[Al]=O.O=[Si]=O.[K+].[K+]','O=[Ti]=O']",235,31,87,9,10,2,1,3,75,27,111,0,74,8,9,1306,13,5,21,21,0,1,5,5,10,8,4,0,0,4,1,0,0,2,2,1,20,5,0,1,1,1,31,3,1,1,3,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48088496,1
305,"['potassium nitrate','sodium fluoride']","['water','hydrated silica','sorbitol','glycerin','pentasodium triphosphate','peg-8','flavor','titanium dioxide','sodium methyl cocoyl taurate','cocamidopropyl betaine','gum xanthan','sodium hydroxide','sodium saccharin','sucralose']",Sensodyne® Maximum Strength Extra Whitening Toothpaste 4-6.5 oz. Boxes,41.5,"['[N+](=O)([O-])[O-].[K+]','[F-].[Na+]']","['O','O.[O-2].[O-2].[Si+4]','C(C(C(C(C(CO)O)O)O)O)O','C(C(CO)O)O','[O-]P(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+].[Na+]','peg-8','flavor','O=[Ti]=O','sodium methyl cocoyl taurate','CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]','CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O','[OH-].[Na+]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O']",180,33,76,9,9,1,0,1,66,28,97,0,48,8,8,1006,10,3,25,25,0,0,3,3,6,4,3,0,0,2,0,0,0,1,2,1,15,4,0,3,0,1,8,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104641425,4
328,['sodium monofluorophosphate'],"['propylene glycol','calcium pyrophosphate','glycerin','peg/ppg-116/66 copolymer','peg-12','pvp','silica','flavor','sodium lauryl sulfate','tetrasodium pyrophosphate','hydrogen peroxide','disodium pytophosphate','sodium saccharin','sucralose','bht']","Colgate Optic White Toothpaste, Sparkling Mint (5 oz., 5 pk.)",24.69,['[O-]P(=O)([O-])F.[Na+].[Na+]'],"['CC(CO)O','[O-]P(=O)([O-])OP(=O)([O-])[O-].[Ca+2].[Ca+2]','C(C(CO)O)O','peg/ppg-116/66 copolymer','peg-12','C=CN1CCCC1=O','O=[Si]=O','flavor','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+]','OO','OP(=O)([O-])OP(=O)(O)[O-].[Na+].[Na+]','C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]','C(C1C(C(C(C(O1)OC2(C(C(C(O2)CCl)O)O)CCl)O)O)Cl)O','CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C']",136,15,52,4,4,2,0,2,48,15,78,0,27,3,3,736,6,0,10,10,0,0,0,0,2,2,2,0,0,2,0,1,0,2,1,0,3,4,0,6,0,1,9,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174092706,5
333,"['glycerin','water', 'hydrated silica','calcium carbonate','cellulose gum','aroma','cyclomethicone','sodium lauryl sulfate','sodium monofluorophosphate','mica','ci 45430','limonene','ci 75470','sodium methylparaben','ci 77491','titanium dioxide','sodium propylparaben','eugenol','ammonium hydroxide','linallol']",[],Email Diamant Red Toothpaste 75 ml,14.95,"['C(C(CO)O)O','water', 'hydrated silica','C(=O)([O-])[O-].[Ca+2]','CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]','aroma','C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C','CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]','[O-]P(=O)([O-])F.[Na+].[Na+]','[O-2].O=[Al]O[Al]=O.O=[Si]=O.[K+].[K+]','C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)I)[O-])I)I)[O-])I.[Na+].[Na+]','CC1=CCC(CC1)C(=C)C','CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O','COC(=O)C1=CC=C(C=C1)[O-].[Na+]','ci 77491','O=[Ti]=O','CCCOC(=O)C1=CC=C(C=C1)[O-].[Na+]','COC1=C(C=CC(=C1)CC=C)O','[NH4+].[OH-]','linallol']",[],203,24,62,4,6,8,0,8,58,20,89,1,32,2,2,1075,14,1,12,12,1,0,2,4,9,7,0,1,4,0,0,0,0,8,8,3,6,5,0,0,0,0,9,0,0,1,0,2,0,0,0,0,5,2,0,0,5,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109642706,1
526,['stannous fluoride'],[],Crest® Gum Detoxify? Deep Clean Fluoride Toothpaste 4-4.1 oz. Boxes,22.49,['F[Sn]F'],[],3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895188014,4
540,"['sodium fluoride', 'water', 'sorbitol', 'hydrated silica', 'disodium pyrophosphate', 'sodium lauryl sulfate', 'cellulose gum', 'sodium hydroxide', 'sodium saccharin', 'carbomer', 'mica', 'titanium dioxide', 'blue']",[],"Crest 3D White Whitening Toothpaste, Radiant Mint, 4.8 oz",34.99,"['[F-].[Na+]', 'O', 'C(C(C(C(C(CO)O)O)O)O)O', 'O.[O-2].[O-2].[Si+4]', 'disodium pyrophosphate', 'CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]', 'CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na]', '[OH-].[Na+]', 'C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+]', 'C=CC(=O)O', '[O-2].O=[Al]O[Al]=O.O=[Si]=O.[K+].[K+]', 'O=[Ti]=O', 'blue']",[],88,18,37,1,1,1,0,1,29,13,52,1,25,0,0,477,2,2,11,11,0,0,2,2,4,2,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554896378,5
