,number,active_from_ingredients,inactive_from_ingredients,active_raw,inactive_raw,name,price
0,555992731,"[' Sodium Fluoride (0.24%) (0.15% w/v Fluoride Ion)', 'Purpose: Anticavity', '']","[' Sorbitol', 'Water', 'Hydrated Silica', 'PEG-12', 'Sodium Lauryl Sulfate', 'Flavor', 'Cellulose Gum', 'Tetrasodium Pyrophosphate', 'Cocamidopropyl Betaine', 'Sodium Saccharin', 'Methylcellulose', 'Titanium Dioxide', 'FD&C Blue 1']",Active Ingredient: Sodium Fluoride (0.24% (0.15% w/v Fluoride Ion)). Purpose: Anticavity.,"Inactive Ingredients: Sorbitol, Water, Hydrated Silica, PEG-12, Sodium Lauryl Sulfate, Flavor, Cellulose Gum, Tetrasodium Pyrophosphate, Cocamidopropyl Betaine, Sodium Saccharin, Methylcellulose, Titanium Dioxide, FD&C Blue No.1.","Colgate MaxFresh Whitening Toothpaste with Mini Breath Strips, Cool Mint, 6 Oz, 3 Ct",$5.92 
1,572624509,[' Sodium Fluoride 0.243% (0.15% W/V Fluoride Ion) '],"[' Sorbitol', 'Water', 'Hydrated Silica', 'Disodium Pyrophosphate', 'Flavor', 'Sodium Lauryl Sulfate', 'Sodium Hydroxide', 'Alcohol (0.7%)', 'Xanthan Gum', 'Sodium Saccharin', 'Glycerin', 'Carbomer', 'Poloxamer 407', 'Polysorbate 80', 'Sodium Benzoate', 'Cetylpyridinium Chloride', 'Benzoic Acid', 'Mica', 'Titanium Dioxide', 'Blue 1', 'Yellow 5']",Sodium Fluoride,"Sorbitol, Water, Hydrated Silica, Disodium Pyrophosphate, Flavor, Sodium Lauryl Sulfate, Sodium Hydroxide, Alcohol (0.7%), Xanthan Gum, Sodium Saccharin, Glycerin, Carbomer, Poloxamer 407, Polysorbate 80, Sodium Benzoate, Cetylpyridinium Chloride, Benzoic Acid, Mica, Titanium Dioxide, Blue 1, Yellow 5","Crest Plus Scope Outlast Complete Whitening Toothpaste, 5.4 oz 3 Pack",$6.52 
2,575454494,[' Sodium Fluoride 0.243% (0.15% w/v Fluoride Ion) '],"[' Water', 'Sorbitol', 'Hydrated Silica', 'Disodium Pyrophosphate', 'Sodium Lauryl Sulfate', 'Flavor', 'Sodium Hydroxide', 'Cellulose Gum', 'Sodium Saccharin', 'Carbomer', 'Polysorbate 80', 'Mica', 'Titanium Dioxide', 'Blue 1']",Sodium Fluoride,"Water, Sorbitol, Hydrated Silica, Disodium Pyrophosphate, Sodium Lauryl Sulfate, Flavor, Sodium Hydroxide, Cellulose Gum, Sodium Saccharin, Carbomer, Polysorbate 80, Mica, Titanium Dioxide, Blue 1","Crest 3D White Whitening Toothpaste, Icy Clean Mint, 3.5 oz, 2 Pack",$4.97 
3,242463,"[' Potassium Nitrate 5%** - Antihypersensitivity', 'Sodium Fluoride 0.15% W/V Fluoride Ion - Anticavity, ']","[' Water', 'Hydrated Silica', 'Sorbitol', 'Glycerin', 'Pentasodium Triphosphate', 'Peg-8', 'Flavor', 'Titanium Dioxide', 'Sodium Methyl Cocoyl Taurate', 'Cocamidopropyl Betaine', 'Xanthan Gum', 'Sodium Hydroxide', 'Sodium Saccharin', 'Sucralose.']",,"Water, Hydrated Silica, Sorbitol, Glycerin, Pentasodium Triphosphate, PEG-8, Flavor, Titanium Dioxide, Sodium Methyl Cocoyl Taurate, Cocamidopropyl Betaine, Xanthan Gum, Sodium Hydroxide, Sodium Saccharin, Sucralose",Sensodyne Extra Whitening Sensitive Teeth Whitening Toothpaste - 4 Ounces (Pack of 2),$10.24 
4,579516137,"[' Sodium Fluoride', '24% (0.15% w/v Fluoride Ion)', 'Purpose: Anticavity', '']","[' Sorbitol', 'Water', 'Hydrated Silica', 'PEG-12', 'Tetrasodium Pyrophosphate', 'Cocamidopropyl Betaine', 'Cellulose Gum', 'Sodium Saccharin', 'Titanium Dioxide', 'FD&C Blue 1', 'FD&C Yellow 5']",,,"Colgate Triple Action Fluoride Toothpaste, Teeth Whitening and Cavity Protection, Mint, 6 Oz, 3 Ct",$3.96 
5,571836049,[''],[],Active Ingredient: Stannous Fluoride 0.454% (0.14% W/V Fluoride Ion),"Inactive Ingredients: Water, Sorbitol, Hydrated Silica, Sodium Lauryl Sulfate, Carrageenan, Sodium Gluconate, Flavor, Xanthan Gum, Zinc Citrate, Stannous Chloride, Sodium Hydroxide, Sodium Saccharin, Sucralose, Titanium Dioxide, Blue 1&nbsp","Crest Pro Health Smooth Formula Toothpaste, Clean Mint, 4.6 oz, 3 Pk",$6.97 
6,577581112,[' Sodium Fluoride 0.243% (0.16% w/v Fluoride Ion) '],"[' Glycerin', 'Hydrated Silica', 'Sodium Hexametaphosphate', 'Water', 'PEG-6', 'Flavor', 'Trisodium Phosphate', 'Sodium Lauryl Sulfate', 'Carrageenan', 'Cocamidopropyl Betaine', 'Sodium Saccharin', 'Sucralose', 'Xanthan Gum', 'Titanium Dioxide', 'Mica']",Sodium Fluoride 0.243% (0.16% w/v Fluoride Ion),"Glycerin, Hydrated Silica, Sodium Hexametaphosphate, Water, PEG-6, Flavor, Trisodium Phosphate, Sodium Lauryl Sulfate, Carrageenan, Cocamidopropyl Betaine, Sodium Saccharin, Sucralose, Xanthan Gum, Titanium Dioxide, Mica","Crest 3D White Whitening Toothpaste, Glamorous White, 4.1 oz, 2 Pack",$6.97 
7,571836023,[' Sodium Fluoride 0.243% (0.15% W/V Fluoride Ion) '],"[' Sorbitol', 'Water', 'Hydrated Silica', 'Disodium Pyrophosphate', 'Sodium Lauryl Sulfate', 'Flavor', 'Sodium Hydroxide', 'Alcohol (0.7%)', 'Xanthan Gum', 'Sodium Saccharin', 'Glycerin', 'Carbomer', 'Cellulose Gum', 'Polysorbate 80', 'Sodium Benzoate', 'Cetylpyridinium Chloride', 'Benzoic Acid', 'Titanium Dioxide', 'Blue 1', 'Yellow 5']",Active Ingredient: Sodium Fluoride 0.243% (0.15% W/V Fluoride Ion),"Inactive Ingredients: Sorbitol, Water, Hydrated Silica, Disodium Pyrophosphate, Sodium Lauryl Sulfate, Flavor, Sodium Hydroxide, Alcohol (0.7%), Xanthan Gum, Sodium Saccharin, Glycerin, Carbomer, Cellulose Gum, Polysorbate 80, Sodium Benzoate, Cetylpyridinium Chloride, Benzoic Acid, Titanium Dioxide, Blue 1, Yellow 5&nbsp","Crest Plus Scope Complete Whitening Toothpaste, 5.4 oz, 3 Pack",$6.12 
8,573359728,"[' Sodium Fluoride (0.24%) (0.15% w/v Fluoride Ion)', 'Purpose: Anticavity', '']","[' Sorbitol', 'Water', 'Hydrated Silica', 'PEG-12', 'Flavor', 'Sodium Lauryl Sulfate', 'Cellulose Gum', 'Sodium Saccharin', 'Tetrasodium Pyrophosphate', 'Cocamidopropyl', 'Betaine', 'Methylcellulose', 'Titanium Dioxide', 'FD&C Blue 1']",,,"Colgate MaxFresh KnockOut Whitening Toothpaste with Mini Breath Strips, Mint Fusion, 6 Oz, 3 Ct",$5.96 
9,570658828,[' Sodium Fluoride (0.243%) (0.16% w/v Fluoride Ion). Purpose: Anticavity Toothpaste. '],"[' Glycerin', 'Hydrated Silica', 'Sodium Hexametaphosphate', 'Water', 'PEG-6', 'Flavor', 'Trisodium Phosphate', 'Sodium Lauryl Sulfate', 'Carrageenan', 'Cocamidopropyl Betaine', 'Sodium Saccharin', 'PEG-20M or PEG-23M', 'Xanthan Gum', 'Sucralose', 'Mica', 'Titanium Dioxide.']",Active Ingredient: Sodium Fluoride 0.243% (0.16% w/v Fluoride Ion),"Inactive Ingredients: Glycerin, Hydrated Silica, Sodium Hexametaphosphate, Water, PEG-6, Flavor, Trisodium Phosphate, Sodium Lauryl Sulfate, Carrageenan, Cocamidopropyl Betaine, Sodium Saccharin, PEG-20M or PEG-23M, Xanthan Gum, Sucralose, Mica, Titanium Dioxide&nbsp","Crest 3D White Brilliance Toothpaste, Peppermint, 4.1 oz, 3 Pack",$12.93 
