,number,active_ingredients,inactive_ingredients,name,price,review number,5 stars,4 stars,3 stars,2 stars,1 star
0,547748539,[' Sodium Fluoride 0.243% (0.15% W/V Fluoride Ion) '],"[' Sorbitol', 'Water', 'Hydrated Silica', 'disodium pytophosphate', 'Sodium Lauryl Sulfate', 'Flavor', 'Sodium Hydroxide', 'Alcohol (0.7%)', 'gum xanthan', 'Sodium Saccharin', 'Glycerin', 'Carbomer', 'Cellulose Gum', 'Polysorbate 80', 'Sodium Benzoate', 'Cetylpyridinium Chloride', 'Benzoic Acid', 'Titanium Dioxide', 'Blue 1', 'Yellow 5']","Crest + Scope Complete Whitening Toothpaste, Minty Fresh, 5.4 oz, Pack of 3",$6.52 ,89,2106,584,126,37,34
1,580400401,"[' Sodium Monofluorophosphate (0.76% (0.15% w/v Fluoride Ion))', 'Purpose: Anticavity', '']","[' Dicalcium Phosphate Dihydrate', 'Water', 'Glycerin', 'Sodium Lauryl Sulfate', 'Cellulose Gum', 'Flavor', 'Tetrasodium Pyrophosphate', 'Sodium Saccharin']","Colgate Cavity Protection Toothpaste with Fluoride, Great Regular Flavor - 6 Ounce, 3 pack",$3.96 ,206,88,13,5,0,3
2,143583812,"[' Stannous fluoride 0.454% (0.15% w/v fluoride ion) - Anticavity', 'Antigingivitis; ']","[' Glycerin', 'PEG-8', 'hydrated silica', 'pentasodium triphosphate', 'flavor', 'sodium lauryl sulfate', 'titanium dioxide', 'polyacrylic acid', 'sodium saccharin', 'cocamidopropyl betaine.']","Parodontax Bleeding Gums Toothpaste, Teeth Whitening, 3.4 Ounce",$5.92 ,36,29,5,0,2,3
3,831725130,"[' Stannous Fluoride (0.454%) (0.15% w/v Fluoride Ion). Purposes: Anticavity', 'Antigingivitis', 'Antisensitivity. ']","[' Water', 'Sorbitol', 'Hydrated Silica', 'Glycerin', 'PEG-12', 'Tetrasodium Pyrophosphate', 'Sodium Lauryl Sulfate', 'Flavor', 'Microcrystalline Cellulose', 'Sodium Citrate', 'Zinc Phosphate', 'Cellulose Gum', 'Sodium Saccharin', 'Cocamidopropyl Betaine', 'Propylene Glycol', 'gum xanthan', 'Citric Acid', 'Sucralose', 'Titanium Dioxide.']","Colgate Total Whitening Toothpaste, 4.8 oz. 2-pack",$4.96 ,206,223,81,22,10,124
4,125185675,"[' Stannous fluoride 0.454% (0.15% w/v fluoride ion) - Anticavity', 'Antigingivitis; ']","[' Glycerin', 'PEG-8', 'hydrated silica', 'pentasodium triphosphate', 'flavor', 'sodium lauryl sulfate', 'titanium dioxide', 'polyacrylic acid', 'sodium saccharin', 'cocamidopropyl betaine.']","Parodontax Bleeding Gums Toothpaste, Extra Fresh, 3.4 Ounce",$5.47 ,262,35,6,1,1,0
5,16940601,"[' Potassium nitrate 5%** - Antihypersensitivity', 'Sodium fluoride 0.15% w/v fluoride ion - Anticavity; ']","[' Water', 'hydrated silica', 'sorbitol', 'glycerin', 'pentasodium triphosphate', 'PEG-8', 'flavor', 'titanium dioxide', 'sodium methyl cocoyl taurate', 'cocamidopropyl betaine', 'gum xanthan', 'sodium hydroxide', 'sodium saccharin', 'sucralose.']","Sensodyne Sensitivity Toothpaste, Extra Whitening, for Sensitive Teeth, 24/7 Protection, 4 ounce (Pack of 2)",$10.24 ,36,128,17,2,0,2
6,393255736,[' Sodium Fluoride 0.24% (0.15% w/v Fluoride Ion). Purpose: Anticavity. '],"[' Sorbitol', 'Water', 'Hydrated Silica', 'PEG-12', 'Tetrasodium Pyrophosphate', 'Cocamidopropyl Betaine', 'Cellulose Gum', 'Sodium Saccharin', 'Titanium Dioxide', 'FD&C Blue 1', 'FD&C Yellow 5.']","Colgate Triple Action Toothpaste, Mint - 6 Ounce, 3 Pack",$3.96 ,36,78,12,2,0,0
7,569223950,[' Sodium Fluoride 0.243% (0.15% W/V Fluoride Ion) '],"[' Sorbitol', 'Water', 'Hydrated Silica', 'disodium pytophosphate', 'Flavor', 'Sodium Lauryl Sulfate', 'Sodium Hydroxide', 'Alcohol (0.7%)', 'gum xanthan', 'Sodium Saccharin', 'Glycerin', 'Carbomer', 'Poloxamer 407', 'Polysorbate 80', 'Sodium Benzoate', 'Cetylpyridinium Chloride', 'Benzoic Acid', 'Mica', 'Titanium Dioxide', 'Blue 1', 'Yellow 5']","Crest + Scope Outlast Complete Whitening Toothpaste, Mint, 5.4 oz, Pack of 3",$6.52 ,36,76,9,2,0,2
8,539269609,"['Active Ingredient Purpose', 'Sodium Monofluorophosphate 0', '76% (0.14% W/V Fluoride Ion) - Anticavity', 'Inactive Ingredients', 'Glycerin', 'Hydrated Silica', 'Water', 'Sodium Bicarbonate', 'PEG-12', 'Sodium Lauryl Sulfate', 'Flavor', 'Sodium Hydroxide', 'Cellulose Gum', 'Carrageenan', 'Sodium Saccharin', 'Calcium Peroxide', 'Titanium Dioxide']",[],"Colgate Baking Soda and Peroxide Whitening Toothpaste, Brisk Mint - 6 Ounce, 3 Pack",$3.96 - $7.68,36,90,7,3,1,1
9,55335249,[' Sodium fluoride 0.243% (0.16% w/v fluoride ion) \\n'],"['glycerin', 'hydrated silica', 'sodium hexametaphosphate', 'water', 'PEG-6', 'flavor', 'trisodium phosphate', 'sodium lauryl sulfate', 'carrageenan', 'cocamidopropyl betaine', 'sodium saccharin', 'sucralose', 'gum xanthan', 'titanium dioxide', 'mica']","Crest 3D White Luxe Glamorous White Toothpaste, 3.5 oz, Pack of 2",$13.90 ,471,335,105,43,12,12
