number,name,price,review number,5 stars,4 stars,3 stars,2 stars,1 star
547748539,"Crest + Scope Complete Whitening Toothpaste, Minty Fresh, 5.4 oz, Pack of 3",$6.52,89,2106,584,126,37,34
580400401,"Colgate Cavity Protection Toothpaste with Fluoride, Great Regular Flavor - 6 Ounce, 3 pack",$3.96,206,88,13,5,0,3
143583812,"Parodontax Bleeding Gums Toothpaste, Teeth Whitening, 3.4 Ounce",$5.92,36,29,5,0,2,3
831725130,"Colgate Total Whitening Toothpaste, 4.8 oz. 2-pack",$4.96,206,223,81,22,10,124
125185675,"Parodontax Bleeding Gums Toothpaste, Extra Fresh, 3.4 Ounce",$5.47,262,35,6,1,1,0
16940601,"Sensodyne Sensitivity Toothpaste, Extra Whitening, for Sensitive Teeth, 24/7 Protection, 4 ounce (Pack of 2)",$10.24,36,128,17,2,0,2
393255736,"Colgate Triple Action Toothpaste, Mint - 6 Ounce, 3 Pack",$3.96,36,78,12,2,0,0
569223950,"Crest + Scope Outlast Complete Whitening Toothpaste, Mint, 5.4 oz, Pack of 3",$6.52,36,76,9,2,0,2
539269609,"Colgate Baking Soda and Peroxide Whitening Toothpaste, Brisk Mint - 6 Ounce, 3 Pack",$3.96 - $7.68,36,90,7,3,1,1
55335249,"Crest 3D White Luxe Glamorous White Toothpaste, 3.5 oz, Pack of 2",$13.90,471,335,105,43,12,12
159744748,"Crest Pro-Health Whitening Gel Toothpaste, 4.6 oz, Pack of 2",$4.99,1,88,35,11,12,16
47826722,"Tom's of Maine Natural Toothpaste Peppermint Antiplaque & Whitening, 2 ct",$7.96,471,22,2,1,0,1
35764260,"Colgate Optic White Whitening Toothpaste, Sparkling White - 5 ounce (2 pack)",$5.00,102,77,13,5,2,4
38587646,"Sensodyne Sensitivity Toothpaste for Sensitive Teeth, Complete Protection, Extra Fresh, 3.4 ounce",$5.72,262,45,9,0,1,3
42417998,"Sensodyne Repair and Protect Whitening Toothpaste for Sensitive Teeth, 3.4 Ounce Tube",$5.72 - $10.98,262,77,7,4,2,6
49081565,"Colgate Max Fresh Toothpaste with Mini Breath Strips, Cool Mint - 6.0 Ounce (3 Pack)",$5.92,36,43,7,2,1,0
17248395,"Sensodyne Pronamel Gentle Whitening Fluoride Toothpaste to Strengthen and Protect Enamel, 4 Ounce Twinpack (2 tubes of 4oz)",$10.24,36,171,42,6,3,3
107637420,"Crest Pro-Health Sensitive & Enamel Shield Toothpaste, 4.6 oz, Pack of 2",$4.97,206,65,20,9,6,11
414334175,"Colgate Sensitive Toothpaste, Complete Protection - Mint Clean Paste Formula (6 ounce, Pack of 3)",$13.25,67,32,9,2,1,2
11027565,"Crest Plus Complete Whitening Fluoride Toothpaste, Cinnamon Rush, 6.0 oz",$2.58,262,142,13,5,0,3
10453056,"Aquafresh Fluoride Toothpaste Kids Cavity Protection Bubble Mint, 4.6 OZ",$1.97,38,31,4,3,2,1
22210494,"Arm & Hammer Advance White Extreme Whitening with Stain Defense, Fresh Mint, 6 oz Twin Pack (Packaging May Vary)",$2.99 - $5.44,36,264,63,12,3,6
569749765,"Sensodyne Complete Protection Sensitivity Toothpaste for Sensitive Teeth, Extra Fresh, 3.4 ounces Twinpack",$10.24,206,36,8,0,0,2
532794165,"Crest 3D White Whitening Therapy Charcoal Deep Clean Fluoride Toothpaste, Invigorating Mint, 4.1 ounce",$6.97 - $11.97,262,73,8,3,2,2
106328128,"Colgate Max Fresh Toothpaste with Mini Breath Strips, Clean Mint - 6 Ounce (3 Pack)",$5.92,36,11,4,1,0,1
23814511,"Sensodyne Repair & Protect Extra Fresh Fluoride Toothpaste for Sensitive Teeth, 3.4 ounces",$5.72,36,44,6,2,0,1
38773089,"Sensodyne Pronamel Fresh Wave Fluoride Toothpaste to Strengthen and Protect Enamel, 8 ounces Twinpack (4 oz)",$5.72 - $10.24,36,163,45,14,5,5
398181015,"Sensodyne Pronamel Intensive Enamel Repair Extra Fresh Toothpaste for Enamel Strengthening, 3.4 ounces",$5.72,36,35,3,2,1,0
10311616,"Crest Cavity Protection Regular Toothpaste, .85 oz",$0.97,262,187,45,8,2,8
168822623,"Crest 3D White Luxe Glamorous White Whitening Toothpaste, Vibrant Mint, 4.8 oz",$7.32,50,214,65,25,7,11
38772378,"Aquafresh Cavity Protection Fluoride Toothpaste, Cool Mint, 5.6 ounce Twinpack (two 5.6oz tubes)",$2.98,262,31,7,0,1,1
661431001,"Colgate Total Toothpaste, Fresh Mint Stripe Gel, 4.8 oz. 2-pack",$4.96,36,108,33,5,7,56
233708144,"Crest 3D White, Whitening Toothpaste Radiant Mint, 4.1 oz, Pack of 2",$6.92,36,185,34,15,6,12
799122530,"Hello Fluoride Free Antiplaque and Whitening Toothpaste, Vegan & SLS Free, Natural Peppermint with Tea Tree Oil & Coconut Oil, 4.7oz",$3.97,206,144,42,12,4,14
563290858,"Colgate Total Whitening Toothpaste, Advanced Whitening, 5.1 oz. 2-pack- Paste",$6.96,36,172,82,31,16,209
510336166,"Crest Gum Detoxify Deep Clean Toothpaste, 4.1 oz",$6.97,262,510,123,29,9,11
38587645,"Sensodyne Complete Protection Fluoride Toothpaste for Sensitive Teeth, 3.4 ounces",$5.72,36,41,10,1,0,1
987715570,"Crest + Scope Complete Whitening Toothpaste, Minty Fresh, 5.4 oz",$2.58,262,119,29,6,5,14
908197301,"Crest Pro-Health Smooth Formula Toothpaste, Clean Mint Paste, 4.6 oz, Pack of 3",$6.97,36,15,4,0,0,0
170279342,"Crest Pro-Health Smooth Formula Toothpaste, Clean Mint Paste, 4.6 oz, Pack of 2",$4.99,36,14,3,1,0,0
670751520,"(2 pack) Crest Complete Whitening plus Scope Multi-Benefit Fluoride Liquid Gel Toothpaste, Minty Fresh, 4.6 Ounce",$4.94 - $7.41,36,145,32,7,5,14
653888327,"Rembrandt Intense Stain Whitening Toothpaste, Mint Flavor, 3.52-Ounce (2 Pack)",$11.89,36,28,4,1,0,1
26812577,"Biotene Fresh Mint Original Fluoride Toothpaste, 4.3 ounce",$6.33,262,49,10,7,3,5
589798006,"Colgate Total Toothpaste, Deep Clean, 5.1 oz. 2-pack - Paste",$6.96,36,193,73,20,8,40
207215864,"(Pack of 3) Crest Kid's Cavity Protection Toothpaste (children and toddlers 2+), Sparkle Fun Flavor, 4.6 ounces",$4.92,109,20,3,0,0,2
289197571,"Sensodyne Repair & Protect Whitening Sensitivity Toothpaste for Sensitive Teeth, 3.4 ounces Twinpack",$10.24,36,29,3,1,1,4
337777889,"Colgate Optic White Whitening Toothpaste, Sparkling White - 5 ounce (3 pack)",$10.96,31,16,3,2,0,0
10311747,Colgate Max Fresh Liquid Gel 2-in-1 Toothpaste and Mouthwash - 4.6 Ounce,$2.82 - $8.46,53,26,4,0,0,0
10316811,"Sensodyne Fresh Mint Sensitivity Toothpaste for Sensitive Teeth and Fresh Breath, 4 Ounce",$5.92,36,67,16,2,0,1
971287851,"Crest 3D White, Whitening Toothpaste Radiant Mint, 3.0 oz",$2.97,262,3,0,0,0,1
28442763,"Sensodyne Sensitivity Toothpaste for Sensitive Teeth, Fresh Mint, 4 ounce (Pack of 2)",$10.24,36,44,8,3,3,0
599561143,"Colgate Total Toothpaste, Clean Mint, 4.8 oz. 2-pack - Paste",$4.96,36,217,69,18,9,177
361263130,"Crest Pro-Health Advanced Gum Protection Toothpaste, 5.1 oz, Pack of 2",$3.92 - $6.97,206,94,26,15,5,11
958200779,"Crest 3D White, Charcoal Whitening Toothpaste, 4.1 oz",$3.97,471,44,9,2,0,2
632875553,"Hello Activated Charcoal Fluoride Whitening Toothpaste, With Fresh Mint and Coconut Oil, Vegan & SLS Free, 4oz",$4.82,262,90,9,3,2,4
828180888,Colgate Optic White Platinum Express White Whitening Toothpaste - 3 ounce (3 pack),$34.28,1,235,104,38,16,15
313948787,"Crest 3D White, Whitening Toothpaste Radiant Mint, 4.1 oz, Pack of 3",$9.97,36,185,34,15,6,12
16940390,"Aquafresh Extreme Clean Mint Blast Fluoride Toothpaste Twin Pack, 5.6 oz, 2 pack",$4.87 - $8.99,36,78,8,0,0,1
888936473,"Aquafresh Extra Fresh Plus Whitening Fluoride Toothpaste for Cavity Protection, 5.6 ounce (3 pack)",$2.50,36,19,6,0,0,1
10294069,"Listerine Essential Care Original Gel Fluoride Toothpaste, 4.2 oz",$7.57,262,180,31,3,2,4
