,product_number,product name,product link
0,547748539,"Crest + Scope Complete Whitening Toothpaste, Minty Fresh, 5.4 oz, Pack of 3",https://www.walmart.com/ip/Crest-Scope-Complete-Whitening-Toothpaste-Minty-Fresh-5-4-oz-Pack-of-3/547748539
1,580400401,"Colgate Cavity Protection Toothpaste with Fluoride, Great Regular Flavor - 6 Ounce, 3 pack",https://www.walmart.com/ip/Colgate-Cavity-Protection-Toothpaste-with-Fluoride-Great-Regular-Flavor-6-Ounce-3-pack/580400401
2,143583812,"Parodontax Bleeding Gums Toothpaste, Teeth Whitening, 3.4 Ounce",https://www.walmart.com/ip/Parodontax-Bleeding-Gums-Toothpaste-Teeth-Whitening-3-4-Ounce/143583812?wpa_bd=1578348143107&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=185dc4d442f5f719fc78bec94d5f45d0&wpa_aux_info=&wpa_tag=&wpa_pos=3&wpa_plmt=1145x1145_T-C-IG_TI_1-2_HL-INGRID-GRID-NY&wpa_aduid=e75477c9-c4f4-4f57-8d2f-c9b48f744550&wpa_pg=browse&wpa_pg_id=1005862_1007221_1023020&wpa_st=Toothpaste&wpa_tax=1005862_1007221_1023020&wpa_bucket=__bkt__
3,831725130,"Colgate Total Whitening Toothpaste, 4.8 oz. 2-pack",https://www.walmart.com/ip/Colgate-Total-Whitening-Toothpaste-4-8-oz-2-pack/831725130
4,125185675,"Parodontax Bleeding Gums Toothpaste, Extra Fresh, 3.4 Ounce",https://www.walmart.com/ip/Parodontax-Bleeding-Gums-Toothpaste-Extra-Fresh-3-4-Ounce/125185675?wpa_bd=1578348143107&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=3cb3ae5f9ffebe92735baca4f9817d35&wpa_aux_info=&wpa_tag=&wpa_pos=5&wpa_plmt=1145x1145_T-C-IG_TI_1-2_HL-INGRID-GRID-NY&wpa_aduid=e75477c9-c4f4-4f57-8d2f-c9b48f744550&wpa_pg=browse&wpa_pg_id=1005862_1007221_1023020&wpa_st=Toothpaste&wpa_tax=1005862_1007221_1023020&wpa_bucket=__bkt__
5,16940601,"Sensodyne Sensitivity Toothpaste, Extra Whitening, for Sensitive Teeth, 24/7 Protection, 4 ounce (Pack of 2)",https://www.walmart.com/ip/Sensodyne-Sensitivity-Toothpaste-Extra-Whitening-for-Sensitive-Teeth-24-7-Protection-4-ounce-Pack-of-2/16940601
6,393255736,"Colgate Triple Action Toothpaste, Mint - 6 Ounce, 3 Pack",https://www.walmart.com/ip/Colgate-Triple-Action-Toothpaste-Mint-6-Ounce-3-Pack/393255736
7,569223950,"Crest + Scope Outlast Complete Whitening Toothpaste, Mint, 5.4 oz, Pack of 3",https://www.walmart.com/ip/Crest-Scope-Outlast-Complete-Whitening-Toothpaste-Mint-5-4-oz-Pack-of-3/569223950
8,539269609,"Colgate Baking Soda and Peroxide Whitening Toothpaste, Brisk Mint - 6 Ounce, 3 Pack",https://www.walmart.com/ip/Colgate-Baking-Soda-and-Peroxide-Whitening-Toothpaste-Brisk-Mint-6-Ounce-3-Pack/539269609
9,55335249,"Crest 3D White Luxe Glamorous White Toothpaste, 3.5 oz, Pack of 2",https://www.walmart.com/ip/Crest-3D-White-Luxe-Glamorous-White-Toothpaste-3-5-oz-Pack-of-2/55335249
10,159744748,"Crest Pro-Health Whitening Gel Toothpaste, 4.6 oz, Pack of 2",https://www.walmart.com/ip/Crest-Pro-Health-Whitening-Gel-Toothpaste-4-6-oz-Pack-of-2/159744748
11,47826722,"Tom's of Maine Natural Toothpaste Peppermint Antiplaque & Whitening, 2 ct",https://www.walmart.com/ip/Tom-s-of-Maine-Natural-Toothpaste-Peppermint-Antiplaque-Whitening-2-ct/47826722
12,35764260,"Colgate Optic White Whitening Toothpaste, Sparkling White - 5 ounce (2 pack)",https://www.walmart.com/ip/Colgate-Optic-White-Whitening-Toothpaste-Sparkling-White-5-ounce-2-pack/35764260
13,38587646,"Sensodyne Sensitivity Toothpaste for Sensitive Teeth, Complete Protection, Extra Fresh, 3.4 ounce",https://www.walmart.com/ip/Sensodyne-Sensitivity-Toothpaste-for-Sensitive-Teeth-Complete-Protection-Extra-Fresh-3-4-ounce/38587646
14,42417998,"Sensodyne Repair and Protect Whitening Toothpaste for Sensitive Teeth, 3.4 Ounce Tube",https://www.walmart.com/ip/Sensodyne-Repair-and-Protect-Whitening-Toothpaste-for-Sensitive-Teeth-3-4-Ounce-Tube/42417998
15,49081565,"Colgate Max Fresh Toothpaste with Mini Breath Strips, Cool Mint - 6.0 Ounce (3 Pack)",https://www.walmart.com/ip/Colgate-Max-Fresh-Toothpaste-with-Mini-Breath-Strips-Cool-Mint-6-0-Ounce-3-Pack/49081565
16,17248395,"Sensodyne Pronamel Gentle Whitening Fluoride Toothpaste to Strengthen and Protect Enamel, 4 Ounce Twinpack (2 tubes of 4oz)",https://www.walmart.com/ip/Sensodyne-Pronamel-Gentle-Whitening-Fluoride-Toothpaste-to-Strengthen-and-Protect-Enamel-4-Ounce-Twinpack-2-tubes-of-4oz/17248395
17,107637420,"Crest Pro-Health Sensitive & Enamel Shield Toothpaste, 4.6 oz, Pack of 2",https://www.walmart.com/ip/Crest-Pro-Health-Sensitive-Enamel-Shield-Toothpaste-4-6-oz-Pack-of-2/107637420
18,414334175,"Colgate Sensitive Toothpaste, Complete Protection - Mint Clean Paste Formula (6 ounce, Pack of 3)",https://www.walmart.com/ip/Colgate-Sensitive-Toothpaste-Complete-Protection-Mint-Clean-Paste-Formula-6-ounce-Pack-of-3/414334175
19,11027565,"Crest Plus Complete Whitening Fluoride Toothpaste, Cinnamon Rush, 6.0 oz",https://www.walmart.com/ip/Crest-Plus-Complete-Whitening-Fluoride-Toothpaste-Cinnamon-Rush-6-0-oz/11027565
20,10453056,"Aquafresh Fluoride Toothpaste Kids Cavity Protection Bubble Mint, 4.6 OZ",https://www.walmart.com/ip/Aquafresh-Fluoride-Toothpaste-Kids-Cavity-Protection-Bubble-Mint-4-6-OZ/10453056
21,22210494,"Arm & Hammer Advance White Extreme Whitening with Stain Defense, Fresh Mint, 6 oz Twin Pack (Packaging May Vary)",https://www.walmart.com/ip/Arm-Hammer-Advance-White-Extreme-Whitening-with-Stain-Defense-Fresh-Mint-6-oz-Twin-Pack-Packaging-May-Vary/22210494
22,569749765,"Sensodyne Complete Protection Sensitivity Toothpaste for Sensitive Teeth, Extra Fresh, 3.4 ounces Twinpack",https://www.walmart.com/ip/Sensodyne-Complete-Protection-Sensitivity-Toothpaste-for-Sensitive-Teeth-Extra-Fresh-3-4-ounces-Twinpack/569749765
23,532794165,"Crest 3D White Whitening Therapy Charcoal Deep Clean Fluoride Toothpaste, Invigorating Mint, 4.1 ounce",https://www.walmart.com/ip/Crest-3D-White-Whitening-Therapy-Charcoal-Deep-Clean-Fluoride-Toothpaste-Invigorating-Mint-4-1-ounce/532794165
24,106328128,"Colgate Max Fresh Toothpaste with Mini Breath Strips, Clean Mint - 6 Ounce (3 Pack)",https://www.walmart.com/ip/Colgate-Max-Fresh-Toothpaste-with-Mini-Breath-Strips-Clean-Mint-6-Ounce-3-Pack/106328128
25,23814511,"Sensodyne Repair & Protect Extra Fresh Fluoride Toothpaste for Sensitive Teeth, 3.4 ounces",https://www.walmart.com/ip/Sensodyne-Repair-Protect-Extra-Fresh-Fluoride-Toothpaste-for-Sensitive-Teeth-3-4-ounces/23814511
