,product_number,product,product_link
0,575619123,"Crest Toothpaste, Whitening Baking Soda and Peroxide, 5.7 oz, 3 Pack",https://www.walmart.com/ip/Crest-Toothpaste-Whitening-Baking-Soda-and-Peroxide-5-7-oz-3-Pack/381181459
1,555992731,"Colgate MaxFresh Whitening Toothpaste with Mini Breath Strips, Cool Mint, 6 Oz, 3 Ct",https://www.walmart.com/ip/Colgate-MaxFresh-Whitening-Toothpaste-with-Mini-Breath-Strips-Cool-Mint-6-Oz-3-Ct/49081565
2,572624509,"Crest Plus Scope Outlast Complete Whitening Toothpaste, 5.4 oz 3 Pack",https://www.walmart.com/ip/Crest-Plus-Scope-Outlast-Complete-Whitening-Toothpaste-5-4-oz-3-Pack/569223950
3,575454494,"Crest 3D White Whitening Toothpaste, Icy Clean Mint, 3.5 oz, 2 Pack",https://www.walmart.com/ip/Crest-3D-White-Whitening-Toothpaste-Icy-Clean-Mint-3-5-oz-2-Pack/633442710
4,297394,"Sensodyne Pronamel Gentle Whitening Enamel Toothpaste for Sensitive Teeth, Alpine Breeze - 4 Ounces (Pack of 2)",https://www.walmart.com/ip/Sensodyne-Pronamel-Gentle-Whitening-Enamel-Toothpaste-for-Sensitive-Teeth-Alpine-Breeze-4-Ounces-Pack-of-2/17248395?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:368JWqowM5h5JofuiEVmiu-usFOjjH3Mx_Uc38PklapIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUAznRfKb3NIvcGPGLbVQv4zXmmYmanGqpa4YMaDjPX381-Dt-ZsMMv9yfxzxWaCm4O-c1h40droJaOO0fgpXIBJlLcon32S46haI-a_Rs86apail5LZiBk-vFifZxE05rXh4Gkdwzc4ys40jdGRLUuUjO-62ARzEW8pJh63fofWxJ&wpa_tag=&wpa_aux_info=&wpa_pos=1&wpa_plmt=1145x1145_T-C-IG_TI_1-6_HL-INGRID-GRID-NY&wpa_aduid=1afe5015-52ef-469e-a441-5ce7dab3af67&wpa_pg=search&wpa_pg_id=toothpaste&wpa_st=toothpaste&wpa_tax=1085632_9267270_7332448_8262175&wpa_bucket=__bkt__
5,242463,Sensodyne Extra Whitening Sensitive Teeth Whitening Toothpaste - 4 Ounces (Pack of 2),https://www.walmart.com/ip/Sensodyne-Extra-Whitening-Sensitive-Teeth-Whitening-Toothpaste-4-Ounces-Pack-of-2/16940601?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:fSnNK-fAZ-OQxBwFJlWWgAnFn5e4kpUHv7XO9mmLlrNIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUAznRfKb3NIvcGPGLbVQv4zXmmYmanGqpa4YMaDjPX381-Dt-ZsMMv9yfxzxWaCm4O38msfqLOO_KKA3_RJLhQjVLcon32S46haI-a_Rs86apail5LZiBk-vFifZxE05rXh4Gkdwzc4ys40jdGRLUuUjO-62ARzEW8pJh63fofWxJ&wpa_tag=&wpa_aux_info=&wpa_pos=2&wpa_plmt=1145x1145_T-C-IG_TI_1-6_HL-INGRID-GRID-NY&wpa_aduid=1afe5015-52ef-469e-a441-5ce7dab3af67&wpa_pg=search&wpa_pg_id=toothpaste&wpa_st=toothpaste&wpa_tax=1085632_9267270_7332448_8262175&wpa_bucket=__bkt__
6,579516137,"Colgate Triple Action Fluoride Toothpaste, Teeth Whitening and Cavity Protection, Mint, 6 Oz, 3 Ct",https://www.walmart.com/ip/Colgate-Triple-Action-Fluoride-Toothpaste-Teeth-Whitening-and-Cavity-Protection-Mint-6-Oz-3-Ct/393255736
7,571836049,"Crest Pro Health Smooth Formula Toothpaste, Clean Mint, 4.6 oz, 3 Pk",https://www.walmart.com/ip/Crest-Pro-Health-Smooth-Formula-Toothpaste-Clean-Mint-4-6-oz-3-Pk/908197301
8,577581112,"Crest 3D White Whitening Toothpaste, Glamorous White, 4.1 oz, 2 Pack",https://www.walmart.com/ip/Crest-3D-White-Whitening-Toothpaste-Glamorous-White-4-1-oz-2-Pack/523066801
9,571836023,"Crest Plus Scope Complete Whitening Toothpaste, 5.4 oz, 3 Pack",https://www.walmart.com/ip/Crest-Plus-Scope-Complete-Whitening-Toothpaste-5-4-oz-3-Pack/547748539
